Location,Property Type,Bedrooms,Bathrooms,Size (sqm),Amenities,Price (KES),Listing Date,size_sqft,price_per_sqft,amenity_score,month,year,log_price
runda,House,5.0,5.0,518.0,"Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Golf Course, Hospital, Nearby, Parking, Scenic View, School, Shopping Centre, Staff Quarters, Walk In Closet",155040000,2025-10-21,5575.7002,27806.3730901457,21,10,2025,18.85919370610673
lavington,House,4.0,4.0,284.94117647058823,"Aircon, Alarm, BBQ, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Golf Course, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Shopping Centre, Staff Quarters, Walk In Closet, Wheelchair Access",75000000,2026-02-17,3067.0783294117646,24453.23918883554,23,2,2026,18.132998671500584
lavington,House,5.0,5.0,284.94117647058823,"Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Golf Course, Gym, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Shopping Centre, Staff Quarters, Walk In Closet, Wheelchair Access",100000000,2026-02-16,3067.0783294117646,32604.318918447385,24,2,2026,18.420680743952367
karen,House,5.0,7.0,194.0,"Balcony, Bus Stop, Fibre Internet, Gated Community, Golf Course, Hospital, Nearby, Parking, Scenic View, School, Shopping Centre",130000000,2026-02-14,2088.1965999999998,62254.67467957759,11,2,2026,18.683045008419857
lavington,House,5.0,6.0,284.94117647058823,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Gym, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",75000000,2026-02-13,3067.0783294117646,24453.23918883554,24,2,2026,18.132998671500584
lavington,House,5.0,6.0,284.94117647058823,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Golf Course, Gym, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Shopping Centre, Walk In Closet",97000000,2026-01-29,3067.0783294117646,31626.189350893965,22,1,2026,18.390221536467656
runda,House,4.0,5.0,,"BBQ, Balcony, Bus Stop, CCTV, Electric Fence, En Suite, Garden, Gated Community, Golf Course, Gym, Hospital, Kids Play Area, Nearby, Parking, School, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet, Wheelchair Access",115000000,2026-01-27,21.5278,5341929.969620677,20,1,2026,18.560442686327523
loresho,House,6.0,5.0,509.1666666666667,"BBQ, Bus Stop, Electric Fence, Garden, Gated Community, Golf Course, Hospital, Kids Play Area, Nearby, Parking, School, Shopping Centre, Staff Quarters",65000000,2026-01-24,5480.619083333333,11859.974030610198,13,1,2026,17.98989782785991
karen,House,4.0,6.0,194.0,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Gym, Hospital, Kids Play Area, Nearby, Parking, School, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet, Wheelchair Access",168000000,2026-01-17,2088.1965999999998,80452.19497053104,24,1,2026,18.939474537367534
karen,House,5.0,7.0,,"Bus Stop, CCTV, En Suite, Fibre Internet, Garden, Gated Community, Gym, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Shopping Centre, Staff Quarters, Walk In Closet, Wheelchair Access",160000000,2026-01-17,21.5278,7432250.3925157245,17,1,2026,18.890684373198102
other,House,4.0,3.0,,"BBQ, Balcony, Borehole, Bus Stop, Electric Fence, En Suite, Garden, Gated Community, Hospital, Kids Play Area, Nearby, Parking, School, Shopping Centre, Staff Quarters, Wheelchair Access",120000000,2026-01-11,10.7639,11148375.588773586,16,1,2026,18.60300230074632
other,House,4.0,4.0,270.0,"Backup Generator, Garden, Gated Community, Swimming Pool",35900000,2026-01-10,2906.2529999999997,12352.675420894191,4,1,2026,17.396247853458508
kileleshwa,House,5.0,3.0,250.0,"Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Garden, Gated Community, Golf Course, Hospital, Nearby, Parking, School, Shopping Centre, Staff Quarters, Wheelchair Access",55000000,2026-01-08,2690.975,20438.68857941824,17,1,2026,17.822843743196746
other,House,5.0,5.0,220.3142632195899,"Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Garden, Gated Community, Golf Course, Hospital, Nearby, Parking, Scenic View, School, Staff Quarters, Walk In Closet",130000000,2025-10-21,2371.4406978693437,54818.99678823951,19,10,2025,18.683045008419857
lavington,House,5.0,6.0,284.94117647058823,"Alarm, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Hospital, Nearby, Parking, School, Service Charge Included, Shopping Centre, Staff Quarters, Walk In Closet",105000000,2026-01-05,3067.0783294117646,34234.53486436976,19,1,2026,18.469470908121796
kitisuru,House,4.0,4.0,398.5,"Alarm, Backup Generator, Balcony, Borehole, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Gym, Hospital, Kids Play Area, Nearby, Parking, Scenic View, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet",80000000,2025-12-31,4289.41415,18650.565602297927,20,12,2025,18.197537192638155
runda,House,5.0,6.0,498.0,"Backup Generator, Garden, Gated Community, Service Charge Included, Swimming Pool",88000000,2025-12-26,5360.4222,16416.617332866055,5,12,2025,18.29284737244248
loresho,House,4.0,5.0,780.0,"Alarm, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Golf Course, Gym, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Service Charge Included, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet, Wheelchair Access",113000000,2025-11-14,8395.842,13459.043178754435,25,11,2025,18.542898376676614
lavington,House,5.0,6.0,500.0,"BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Garden, Gated Community, Hospital, Kids Play Area, Nearby, Parking, School, Shopping Centre, Staff Quarters, Walk In Closet, Wheelchair Access",122000000,2025-10-27,5381.95,22668.363697172957,19,10,2025,18.61953160269753
other,House,5.0,5.0,450.0,,60000000,2025-10-24,4843.755,12387.083987526206,0,10,2025,17.909855120186375
karen,House,4.0,5.0,,"Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Gym, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet",150000000,2025-10-21,21.5278,6967734.742983491,23,10,2025,18.82614585206053
runda,House,4.0,4.0,304.0,"BBQ, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Garden, Golf Course, Hospital, Kids Play Area, Nearby, Parking, School, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet, Wheelchair Access",125000000,2025-10-16,3272.2255999999998,38200.30012600598,19,10,2025,18.643824295266576
runda,House,6.0,5.0,304.0,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Garden, Golf Course, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet",140000000,2025-10-13,3272.2255999999998,42784.3361411267,22,10,2025,18.75715298057358
runda,House,5.0,3.0,,"BBQ, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Garden, Gated Community, Golf Course, Hospital, Kids Play Area, Nearby, Parking, School, Shopping Centre, Staff Quarters, Walk In Closet",110000000,2025-10-06,21.5278,5109672.1448545605,18,10,2025,18.51599092375669
karen,House,4.0,4.0,392.0,"Balcony, En Suite",80000000,2025-09-24,4219.4488,18959.822429887052,2,9,2025,18.197537192638155
lavington,House,6.0,7.0,456.0,"Backup Generator, Balcony, Bus Stop, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Gym, Hospital, Nearby, Parking, School, Service Charge Included, Shopping Centre, Staff Quarters, Walk In Closet",86000000,2025-09-02,4908.3384,17521.20432446141,17,9,2025,18.269857854217783
lavington,House,5.0,6.0,284.94117647058823,"Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Golf Course, Gym, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Service Charge Included, Serviced, Shopping Centre, Staff Quarters, Walk In Closet, Wheelchair Access",72500000,2025-08-30,3067.0783294117646,23638.131215874357,26,8,2025,18.099097119824904
westlands area,House,4.0,4.0,200.0,"BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Service Charge Included, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet, Wheelchair Access",13000000,2025-07-30,2152.7799999999997,6038.7034439190265,23,7,2025,16.38045991542581
lavington,House,4.0,5.0,284.94117647058823,,70000000,2025-04-15,3067.0783294117646,22823.023242913172,0,4,2025,18.064005800013632
lavington,House,5.0,6.0,284.94117647058823,"Balcony, Bus Stop, En Suite, Fibre Internet, Gated Community, Hospital, Nearby, Parking, School, Shopping Centre, Staff Quarters",65000000,2025-04-04,3067.0783294117646,21192.807296990803,11,4,2025,17.98989782785991
karen,House,4.0,4.0,194.0,"BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Golf Course, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Service Charge Included, Shopping Centre, Staff Quarters, Walk In Closet, Wheelchair Access",19000000,2025-03-26,2088.1965999999998,9098.760145476725,23,3,2025,16.759949537130716
riverside,House,4.0,4.0,270.0,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Golf Course, Gym, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Serviced, Shopping Centre, Staff Quarters, Swimming Pool, Wheelchair Access",60000000,2025-03-11,2906.2529999999997,20645.139979210348,26,3,2025,17.909855120186375
other,House,3.0,2.0,147.0,"Balcony, Garden, Gated Community, Parking",26000000,2025-02-13,1582.2933,16431.84610590211,4,2,2025,17.073607095985757
loresho,House,4.0,4.0,480.0,"BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Garden, Gated Community, Golf Course, Gym, Hospital, Kids Play Area, Nearby, Parking, School, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet",108000000,2025-01-09,5166.672,20903.204228950475,21,1,2025,18.497641785088494
other,House,3.0,2.0,200.0,En Suite,14500000,2021-06-02,2152.7799999999997,6735.476918217376,1,6,2021,16.489659207390805
kitisuru,House,3.0,2.0,398.5,"Backup Generator, Balcony, Bus Stop, CCTV, Electric Fence, Garden, Gated Community, Hospital, Nearby, Parking, School, Service Charge Included, Shopping Centre",12000000,2024-10-11,4289.41415,2797.5848403446894,13,10,2024,16.300417207752275
loresho,House,6.0,5.0,500.0,"Bus Stop, CCTV, Electric Fence, En Suite, Hospital, Kids Play Area, Nearby, Parking, School, Shopping Centre, Staff Quarters, Walk In Closet",150000000,2024-09-24,5381.95,27870.938971933967,12,9,2024,18.82614585206053
lavington,House,5.0,5.0,284.94117647058823,"Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Golf Course, Gym, Hospital, Nearby, Parking, Scenic View, School, Service Charge Included, Shopping Centre, Staff Quarters, Swimming Pool, Wheelchair Access",68000000,2023-04-11,3067.0783294117646,22170.936864544223,23,4,2023,18.03501826314038
kilimani,Apartment,2.0,2.0,56.0,"2 Bed, 2 Bed Apartment with En Suite in Kilimani, Aircon, Alarm, Apartments, Apartments for sale in Kilimani, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kilimani, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",6000000,2026-02-21,602.7783999999999,9953.906775690702,32,2,2026,15.60727002719233
lavington,Apartment,2.0,2.0,50.0,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",6000000,2026-02-20,538.1949999999999,11148.375588773588,25,2,2026,15.60727002719233
lavington,Apartment,4.0,5.0,284.94117647058823,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",13500000,2026-02-19,3067.0783294117646,4401.583053990397,25,2,2026,16.41820024340866
lavington,Apartment,4.0,4.0,284.94117647058823,"4 Bed Apartment with En Suite in Lavington, 4+ Bed, Aircon, Alarm, Apartments, Apartments for sale in Lavington, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lavington, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",13000000,2026-02-19,3067.0783294117646,4238.56145939816,32,2,2026,16.38045991542581
riverside,Apartment,2.0,2.0,69.0,"2 Bed, 2 Bed Apartment with En Suite in Riverside, Aircon, Alarm, Apartments, Apartments for sale in Riverside, Apartments for sale in Westlands, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Riverside, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Westlands, Wheelchair Access",7000000,2026-02-20,742.7090999999999,9424.955207900375,34,2,2026,15.761420707019587
kileleshwa,Apartment,2.0,1.0,58.0,"BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Scenic View, School, Shopping Centre, Swimming Pool",5500000,2026-02-16,624.3062,8809.77956009407,19,2,2026,15.520258650202699
kileleshwa,Apartment,4.0,4.0,146.0625,"4 Bed Apartment with En Suite in Kileleshwa, 4+ Bed, Aircon, Alarm, Apartments, Apartments for sale in Kileleshwa, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kileleshwa, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",13000000,2026-02-13,1572.20214375,8268.656833778725,33,2,2026,16.38045991542581
kileleshwa,Apartment,1.0,1.0,146.0625,"1 Bed, 1 Bed Apartment with En Suite in Kileleshwa, Aircon, Alarm, Apartments, Apartments for sale in Kileleshwa, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kileleshwa, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",3000000,2026-02-12,1572.20214375,1908.1515770258598,33,2,2026,14.914122846632385
riverside,Apartment,3.0,3.0,286.0,"Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Furnished, Garden, Gated Community, Golf Course, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Serviced, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet, Wheelchair Access",42000000,2025-12-10,3078.4754,13643.116979268376,29,12,2025,17.553180176247643
westlands area,Apartment,3.0,3.0,113.0,"3 Bed, 3 Bed Apartment with En Suite in Westlands Area, Aircon, Alarm, Apartments, Apartments for sale in Westlands, Apartments for sale in Westlands Area, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Westlands, Westlands Area, Wheelchair Access",12000000,2026-02-15,1216.3207,9865.819105109367,34,2,2026,16.300417207752275
kileleshwa,Apartment,3.0,2.0,90.0,"3 Bed, 3 Bed Apartment with En Suite in Kileleshwa, Aircon, Alarm, Apartments, Apartments for sale in Kileleshwa, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kileleshwa, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",9000000,2026-02-11,968.751,9290.312990644656,32,2,2026,16.012735135300492
westlands area,Apartment,3.0,3.0,109.0,"BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Scenic View, School, Shopping Centre, Swimming Pool",11900000,2026-02-05,1173.2650999999998,10142.635283364349,20,2,2026,16.292048958081757
westlands area,Apartment,4.0,5.0,150.0,"Backup Generator, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Hospital, Nearby, Parking, School, Shopping Centre, Walk In Closet",21000000,2025-09-29,1614.585,13006.438186902516,12,9,2025,16.860032995687696
kileleshwa,Apartment,3.0,3.0,230.0,Read more,23000000,2025-12-23,2475.697,9290.312990644654,1,12,2025,16.951004773893423
kileleshwa,Apartment,2.0,2.0,73.0,"2 Bed, 2 Bed Apartment with En Suite in Kileleshwa, Aircon, Alarm, Apartments, Apartments for sale in Kileleshwa, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kileleshwa, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",6000000,2026-02-20,785.7647,7635.873690940813,33,2,2026,15.60727002719233
kilimani,Apartment,1.0,1.0,59.0,"2 Bed, 2 Bed Apartment with En Suite in Kilimani, Aircon, Alarm, Apartments, Apartments for sale in Kilimani, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kilimani, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",6000000,2026-02-20,635.0701,9447.77592268948,32,2,2026,15.60727002719233
kilimani,Apartment,2.0,1.0,60.0,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",6000000,2026-02-21,645.834,9290.312990644656,25,2,2026,15.60727002719233
westlands area,Apartment,1.0,1.0,113.33333333333333,"1 Bed, 1 Bed Apartment with En Suite in Westlands Area, Aircon, Alarm, Apartments, Apartments for sale in Westlands, Apartments for sale in Westlands Area, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Westlands, Westlands Area, Wheelchair Access",4000000,2026-02-20,1219.9086666666665,3278.933996698114,35,2,2026,15.201804919084164
kilimani,Apartment,2.0,2.0,64.0,"Aircon, Alarm, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, Gated Community, Golf Course, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Scenic View, School, Shopping Centre, Swimming Pool, Wheelchair Access",6300000,2025-11-17,688.8896,9145.151850165832,21,11,2025,15.65606019136176
lavington,Apartment,1.0,1.0,284.94117647058823,"1 Bed, 1 Bed Apartment with En Suite in Lavington, Aircon, Alarm, Apartments, Apartments for sale in Lavington, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lavington, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",3000000,2026-02-20,3067.0783294117646,978.1295675534216,33,2,2026,14.914122846632385
kileleshwa,Apartment,3.0,4.0,125.0,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",13500000,2026-02-20,1345.4875,10033.538029896228,25,2,2026,16.41820024340866
